u,v,key,osmid,name,highway,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,dam_EV1_HZ_segments,dam_EV1_HZ,lanes,ref,maxspeed,junction,access
96631231,96631232,0,10874111,North 9th Street,residential,False,True,105.383,421,385,44.0,0.002,0.8700000047683716,1.0,[3775.55],3775.55,nan,nan,nan,nan,nan
96631231,96661714,0,10876164,6th Avenue North,residential,False,True,107.95400000000001,"[2377, 601]",554,44.0,0.002,0.6399999856948853,1.0,"[2768.33, 74.61]",2842.94,nan,nan,nan,nan,nan
96631231,96661711,0,10876164,6th Avenue North,residential,False,False,213.21699999999998,"[596, 2372]",549,44.0,0.005,1.3799999952316284,1.0,"[7538.11, 6271.44]",13809.55,nan,nan,nan,nan,nan
96631232,96631233,0,10874111,North 9th Street,residential,False,True,104.315,424,388,44.0,0.002,0.8700000047683716,0.8019080791897092,[2650.69],2650.69,nan,nan,nan,nan,nan
96631232,96699063,0,10878701,7th Avenue North,residential,False,True,108.571,736,675,44.0,0.002,0.8700000047683716,1.0,[4152.62],4152.62,nan,nan,nan,nan,nan
96631232,96699061,0,10878701,7th Avenue North,residential,False,False,212.97199999999998,"[2345, 732]",673,44.0,0.005,1.4600000381469727,1.0,"[5697.57, 8322.38]",14019.95,nan,nan,nan,nan,nan
96631233,96791305,0,83591046,8th Avenue North,residential,False,True,106.52199999999999,"[2369, 1015]",906,44.0,0.002,0.3799999952316284,0.7581725487159372,"[1119.67, 66.7]",1186.37,2,nan,nan,nan,nan
96631233,96772161,0,83591046,8th Avenue North,residential,False,False,214.274,"[1118, 982]",878,44.0,0.005,1.4299999475479126,1.0,"[3701.05, 8413.68]",12114.73,2,nan,nan,nan,nan
96632075,2922706572,0,10874354,1st Avenue North,residential,False,True,11.479,1256,988,44.0,0.0,1.6799999475479126,1.0,[1009.0],1009.0,nan,nan,nan,nan,nan
96632075,96634587,0,10874354,1st Avenue North,residential,False,False,108.134,"[2187, 2193, 2553, 476, 2559]",439,44.0,0.002,1.8600000143051147,1.0,"[3927.08, 1261.41, 771.12, 780.57, 2817.41]",9557.59,nan,nan,nan,nan,nan
96632075,2124932342,0,10874185,3rd Street North,primary,True,False,188.766,"[1248, 2144, 2760, 427, 2133, 2807, 1245, 1247]",983,56.0,0.003,1.8300000429153442,1.0,"[3244.5, 7105.21, 3754.47, 4454.12, 688.74, 3713.62, 2123.5, 2864.21]",27948.37,2,FL A1A,35 mph,nan,nan
96632078,96762604,0,10889302,3rd Avenue North,residential,False,False,109.20700000000001,"[1184, 929, 1186, 2563, 2212, 2214, 2217, 2226, 2557, 1182]",826,44.0,0.002,1.9800000190734863,1.0,"[714.52, 755.53, 2122.81, 1044.21, 1348.54, 1167.75, 1377.83, 286.53, 1137.33, 203.78]",10158.83,nan,nan,nan,nan,nan
96632083,2922706577,0,10876164,6th Avenue North,residential,False,True,12.272,1268,1000,44.0,0.0,2.0,1.0,[1191.0],1191.0,nan,nan,nan,nan,nan
96632083,96661706,0,10876164,6th Avenue North,residential,False,False,108.514,"[584, 2600, 2254, 2608, 2258, 2260]",535,44.0,0.002,2.119999885559082,1.0,"[817.61, 1033.59, 1039.01, 1431.02, 4410.08, 1716.8]",10448.11,nan,nan,nan,nan,nan
96632083,96632088,0,351754104,3rd Street North,primary,True,False,104.81200000000001,"[435, 2262]",398,56.0,0.002,2.0299999713897705,1.0,"[8389.57, 8162.25]",16551.82,2,FL A1A,35 mph,nan,nan
96632083,2922706576,0,351754104,3rd Street North,primary,True,False,100.875,1266,998,56.0,0.002,2.009999990463257,1.0,[15860.65],15860.65,2,FL A1A,35 mph,nan,nan
96632088,2922706578,0,10878701,7th Avenue North,residential,False,True,12.872,1271,1003,44.0,0.0,1.909999966621399,1.0,[1197.1],1197.1,nan,nan,nan,nan,nan
96632088,96699058,0,10878701,7th Avenue North,residential,False,False,105.565,"[720, 2610, 2602]",659,44.0,0.002,2.0,1.0,"[484.44, 8581.26, 691.08]",9756.78,nan,nan,nan,nan,nan
96632088,96632090,0,351754104,3rd Street North,primary,True,False,103.507,"[2362, 2363, 438]",401,56.0,0.002,1.9199999570846558,1.0,"[2730.94, 8054.02, 5187.92]",15972.88,2,FL A1A,35 mph,nan,nan
96632090,2922706579,0,83591046,8th Avenue North,residential,False,True,13.42,1274,1006,44.0,0.0,1.9199999570846558,1.0,[1276.24],1276.24,2,nan,nan,nan,nan
96632090,96762607,0,83591046,8th Avenue North,residential,False,False,105.881,"[2360, 937, 2626, 2628]",834,44.0,0.002,2.0299999713897705,1.0,"[2053.1, 523.97, 817.44, 6351.92]",9746.43,2,nan,nan,nan,nan
