u,v,key,osmid,name,highway,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,dam_EV1_HZ_segments,dam_EV1_HZ,lanes,ref,maxspeed,junction,access
96748245,96748248,0,10882149,Lincoln Court South,residential,False,True,108.225,869,786,44.0,0.002,0.8399999737739563,1.0,[3728.69],3728.69,nan,nan,nan,nan,nan
96748245,96832919,0,10894908,South 8th Street,residential,False,True,53.355,1081,945,44.0,0.001,0.8399999737739563,1.0,[2766.61],2766.61,nan,nan,nan,nan,nan
96748248,96770925,0,10884136,South 9th Street,tertiary,False,True,52.086,956,852,50.0,0.001,0.30000001192092896,1.0,[1028.7],1028.7,2,nan,nan,nan,nan
96755022,96755023,0,83591029,13th Avenue South,tertiary,False,True,107.21,887,794,50.0,0.002,1.1299999952316284,1.0,[6765.74],6765.74,2,nan,nan,nan,nan
96755023,96755027,0,83591029,13th Avenue South,tertiary,False,True,106.79,891,798,50.0,0.002,1.1299999952316284,1.0,[7124.71],7124.71,2,nan,nan,nan,nan
96755023,3625754271,0,85691270,South 8th Street,residential,False,False,52.241,1406,1080,44.0,0.001,1.5399999618530273,1.0,[3500.74],3500.74,nan,nan,nan,nan,nan
96755224,96755227,0,10882814,South 4th Street,residential,False,True,49.801,904,811,44.0,0.001,2.130000114440918,1.0,[4906.82],4906.82,nan,nan,nan,nan,nan
96755244,3587045926,0,10882814,South 4th Street,residential,False,True,54.714,"[1466, 1403, 1229]",1077,44.0,0.001,2.680000066757202,1.0,"[3604.48, 1032.46, 1414.6]",6051.54,nan,nan,nan,nan,nan
96762604,96832596,0,10889302,3rd Avenue North,residential,False,False,105.32499999999999,"[2545, 2203, 1069, 2207]",934,44.0,0.002,1.850000023841858,1.0,"[482.58, 5142.67, 1582.14, 2204.38]",9411.77,nan,nan,nan,nan,nan
96762605,2922706576,0,10888754,5th Avenue North,residential,False,True,107.872,"[1191, 2599, 2607, 1265, 2257, 2239]",999,44.0,0.002,1.9800000190734863,1.0,"[3034.31, 979.66, 629.01, 959.72, 3560.13, 874.78]",10037.61,nan,nan,nan,nan,nan
96762605,4419335792,0,10888754,5th Avenue North,residential,False,False,127.106,"[2624, 1056, 2248, 2223, 2232, 2618, 2590]",1104,44.0,0.003,1.9500000476837158,1.0,"[546.01, 787.07, 4985.47, 1066.02, 509.89, 482.8, 2941.87]",11319.13,nan,nan,nan,nan,nan
96762607,96832632,0,83591046,8th Avenue North,residential,False,False,107.73099999999998,"[1074, 2587, 2724, 2630]",940,44.0,0.002,1.8899999856948853,1.0,"[528.83, 3650.09, 4385.73, 713.36]",9278.01,2,nan,nan,nan,nan
96766572,96772158,0,444454418,3rd Avenue North,residential,False,True,105.54,976,870,44.0,0.002,1.090000033378601,1.0,[6322.48],6322.48,nan,nan,nan,nan,nan
96766572,96832597,0,444454418,3rd Avenue North,residential,False,False,107.047,"[1072, 2281, 2279]",937,44.0,0.002,1.4900000095367432,1.0,"[2768.7, 1617.33, 3574.76]",7960.79,nan,nan,nan,nan,nan
96766576,96772159,0,444563942,5th Avenue North,residential,False,True,106.985,980,875,44.0,0.002,1.2200000286102295,1.0,[6895.83],6895.83,nan,nan,nan,nan,nan
96766576,96824616,0,444563942,5th Avenue North,residential,False,False,106.436,1060,925,44.0,0.002,1.659999966621399,1.0,[7995.05],7995.05,nan,nan,nan,nan,nan
96766577,96772161,0,83591046,8th Avenue North,residential,False,True,107.151,983,877,44.0,0.002,1.2400000095367432,1.0,[6711.48],6711.48,2,nan,nan,nan,nan
96766577,96908608,0,83591046,8th Avenue North,residential,False,False,106.61,1105,952,44.0,0.002,1.1699999570846558,1.0,[7026.88],7026.88,2,nan,nan,nan,nan
96770924,96912619,0,10897442,Shetter Avenue,residential,False,False,107.09,"[1888, 1110]",957,44.0,0.002,1.0499999523162842,1.0,"[2375.49, 2586.86]",4962.35,nan,nan,nan,nan,nan
96770925,96832919,0,122483551,3rd Avenue South,residential,False,False,108.039,1082,946,44.0,0.002,0.8299999833106995,1.0,[4375.17],4375.17,nan,nan,nan,nan,nan
96770929,96825465,0,83591037,5th Avenue South,residential,False,False,107.001,"[1067, 2887]",933,44.0,0.002,0.8500000238418579,1.0,"[2744.97, 2025.97]",4770.94,2,nan,nan,nan,nan
96770934,96912621,0,10896800,8th Avenue South,residential,False,False,106.813,1116,961,44.0,0.002,0.7599999904632568,1.0,[3868.16],3868.16,nan,nan,nan,nan,nan
96770943,96808783,0,10887552,15th Avenue South,residential,False,False,107.552,1050,919,44.0,0.002,0.3499999940395355,0.4875500827666615,[712.81],712.81,nan,nan,nan,nan,nan
96772614,96808783,0,10887552,15th Avenue South,residential,False,True,105.756,1051,920,44.0,0.002,0.6899999976158142,1.0,[3784.55],3784.55,nan,nan,nan,nan,nan
96772621,96912619,0,10897442,Shetter Avenue,residential,False,True,105.953,"[1877, 1934, 1111]",958,44.0,0.002,1.149999976158142,1.0,"[1335.09, 1464.86, 3891.76]",6691.71,nan,nan,nan,nan,nan
96772623,96832919,0,122483551,3rd Avenue South,residential,False,True,106.604,1083,947,44.0,0.002,1.0700000524520874,1.0,[6580.13],6580.13,nan,nan,nan,nan,nan
96772625,96825465,0,83591037,5th Avenue South,residential,False,True,105.39,1068,931,44.0,0.002,1.149999976158142,1.0,[6803.98],6803.98,2,nan,nan,nan,nan
96791303,4377180251,0,10886114,North 10th Street,residential,False,True,7.036,2041,1086,56.0,0.0,0.18000000715255737,1.0,[65.96],65.96,2,nan,35 mph,nan,nan
96791303,4377180256,0,10886114,North 10th Street,residential,False,False,7.263,2051,1088,56.0,0.0,0.18000000715255737,1.0,[81.71],81.71,2,nan,35 mph,nan,nan
96791305,4377180257,0,10886114,North 10th Street,residential,False,False,100.49,2054,1091,56.0,0.002,0.30000001192092896,1.0,[1312.65],1312.65,2,nan,35 mph,nan,nan
96791305,96791361,0,"[10886116, 83591046]","['11th Street North', '8th Avenue North']",residential,False,"[False, True]",148.314,"[1034, 1037, 1039, 1041, 1043, 1046, 2367]",914,44.0,0.003,0.07999999821186066,0.06155201812064161,"[nan, nan, nan, nan, nan, 6.59, 45.68]",52.27,2,nan,nan,nan,nan
96832632,6720692849,0,687641943,1st Street North,tertiary,False,True,11.734,2589,1109,50.0,0.0,1.4199999570846558,1.0,[1084.02],1084.02,2,nan,nan,nan,nan
1371728481,1371728482,0,"[122885307, 122885311]",nan,residential,False,False,53.063,"[2889, 1194, 1196]",970,44.0,0.001,0.2800000011920929,1.0,"[19.06, 282.36, 394.2]",695.62,nan,nan,nan,nan,private
1371728482,1371728485,0,"[122885308, 122885311]",nan,residential,False,False,50.862,"[1200, 1199]",972,44.0,0.001,0.20999999344348907,0.36937454505396805,"[85.47, 120.26]",205.73,nan,nan,nan,nan,private
1374387579,4419335614,0,444454368,1st Street North,tertiary,False,False,141.719,"[1792, 2149, 2151, 1172, 2165, 276, 2140]",1099,50.0,0.003,2.0299999713897705,1.0,"[1438.21, 448.49, 3862.87, 4579.62, 900.97, 1327.6, 1985.15]",14542.91,2,nan,nan,nan,nan
1375396018,4377126895,0,123282843,Beach Boulevard,primary,True,False,105.07600000000001,"[2021, 2022, 2023, 1239, 1208]",974,56.0,0.002,0.8399999737739563,1.0,"[2042.33, 1870.92, 1278.11, 2261.91, 1405.57]",8858.84,2,US 90,35 mph,nan,nan
1375396018,1401686494,0,126448299,Beach Boulevard,primary,True,False,49.795,1222,976,56.0,0.001,0.8399999737739563,1.0,[4073.59],4073.59,2,US 90,35 mph,nan,nan
2124932338,2922706568,0,1126937650,Beach Boulevard,primary,True,False,106.447,"[2120, 1249, 1244, 2806]",985,56.0,0.002,2.009999990463257,1.0,"[3008.34, 1667.74, 10463.32, 1606.65]",16746.05,2,US 90,35 mph,nan,nan
2124932342,2922706568,0,202526445,Beach Boulevard,primary,True,False,17.302,1246,982,56.0,0.0,1.7699999809265137,1.0,[2578.0],2578.0,2,US 90,35 mph,nan,nan
2124932342,2922788766,0,683228869,3rd Street North,primary,True,False,12.217,1324,1056,56.0,0.0,1.7699999809265137,1.0,[1826.44],1826.44,2,FL A1A,35 mph,nan,nan
2124932342,3574801802,0,683228862,Beach Boulevard,tertiary,True,False,100.598,"[1346, 1347, 1789]",1069,50.0,0.002,2.0999999046325684,1.0,"[1189.93, 8903.19, 1121.22]",11214.34,nan,nan,nan,nan,nan
2922706568,2922706570,0,1311372008,3rd Street North,primary,True,False,80.882,"[2808, 1251, 2125, 1253]",987,56.0,0.001,1.8600000143051147,1.0,"[2461.04, 4850.38, 1601.93, 3488.24]",12401.59,2,FL A1A,35 mph,nan,nan
2922706570,2922706572,0,288716648,3rd Street North,primary,True,False,105.38999999999999,"[1257, 2130, 1254]",990,56.0,0.002,1.899999976158142,1.0,"[8808.07, 3067.19, 4139.15]",16014.41,2,FL A1A,35 mph,nan,nan
2922706572,2922706573,0,288716648,3rd Street North,primary,True,False,103.604,"[2305, 1258, 2300]",992,56.0,0.002,2.009999990463257,1.0,"[4800.89, 3422.32, 7737.11]",15960.32,2,FL A1A,35 mph,nan,nan
2922706573,2922706574,0,288716648,3rd Street North,primary,True,False,104.875,"[1260, 2308]",993,56.0,0.002,2.0399999618530273,1.0,"[7980.34, 8702.48]",16682.82,2,FL A1A,35 mph,nan,nan
2922706574,2922706575,0,288716648,3rd Street North,primary,True,False,104.64999999999999,"[1264, 2020, 2295]",997,56.0,0.002,2.059999942779541,1.0,"[8300.75, 3562.33, 4753.22]",16616.3,2,FL A1A,35 mph,nan,nan
2922706575,4420292085,0,288716648,3rd Street North,primary,True,False,105.763,"[2240, 2311]",1105,56.0,0.002,2.059999942779541,1.0,"[8190.88, 8651.44]",16842.32,2,FL A1A,35 mph,nan,nan
2922706577,4420292085,0,288716648,3rd Street North,primary,True,False,103.768,"[2322, 1269, 2327]",1002,56.0,0.002,2.0199999809265137,1.0,"[7869.51, 5844.11, 2710.5]",16424.12,2,FL A1A,35 mph,nan,nan
2922706577,2922706578,0,288716648,3rd Street North,primary,True,False,104.014,"[1272, 2334]",1005,56.0,0.002,2.0199999809265137,1.0,"[7459.34, 9226.43]",16685.77,2,FL A1A,35 mph,nan,nan
2922706578,2922706579,0,288716648,3rd Street North,primary,True,False,104.557,1275,1007,56.0,0.002,1.9199999570846558,1.0,[15530.74],15530.74,2,FL A1A,35 mph,nan,nan
2922788749,2922788750,0,434303813,3rd Street South,primary,True,False,102.74600000000001,"[1490, 2837, 1278, 1495]",1011,56.0,0.002,2.509999990463257,1.0,"[10773.08, 2204.4, 1806.09, 3374.77]",18158.34,2,FL A1A,35 mph,nan,nan
2922788750,2922788751,0,434303813,3rd Street South,primary,True,False,105.295,"[1281, 1506, 1628]",1014,56.0,0.002,2.569999933242798,1.0,"[7588.77, 1757.2, 9431.45]",18777.42,2,FL A1A,35 mph,nan,nan
2922788751,2922788752,0,434303813,3rd Street South,primary,True,False,104.527,"[1528, 1521, 1282, 2845]",1016,56.0,0.002,2.6600000858306885,1.0,"[2208.57, 7721.36, 7417.02, 1585.24]",18932.19,2,FL A1A,35 mph,nan,nan
2922788752,2922788753,0,434303813,3rd Street South,primary,True,False,106.208,"[1544, 2846, 1287]",1020,56.0,0.002,2.6500000953674316,1.0,"[4681.98, 12962.6, 1453.3]",19097.88,2,FL A1A,35 mph,nan,nan
2922788753,2922788754,0,434303813,3rd Street South,primary,True,False,102.326,"[1616, 1617, 1290]",1023,56.0,0.002,2.559999942779541,1.0,"[3932.11, 9366.02, 5018.18]",18316.31,2,FL A1A,35 mph,nan,nan
2922788754,2922788755,0,434303813,3rd Street South,primary,True,False,104.292,"[1651, 1293]",1026,56.0,0.002,2.359999895095825,1.0,"[8515.66, 9345.42]",17861.08,2,FL A1A,35 mph,nan,nan
2922788755,2922788756,0,434303813,3rd Street South,primary,True,False,104.83500000000001,"[1296, 1672, 1662, 1663]",1029,56.0,0.002,2.2699999809265137,1.0,"[4166.86, 6001.23, 5044.14, 2209.9]",17422.13,2,FL A1A,35 mph,nan,nan
2922788756,2922788757,0,434303813,3rd Street South,primary,True,False,106.164,"[1299, 1675]",1032,56.0,0.002,2.2300000190734863,1.0,"[3880.55, 13962.85]",17843.4,2,FL A1A,35 mph,nan,nan
2922788757,2922788758,0,434303813,3rd Street South,primary,True,False,103.88,"[1690, 1302]",1035,56.0,0.002,2.0999999046325684,1.0,"[8281.83, 8485.73]",16767.56,2,FL A1A,35 mph,nan,nan
2922788758,2922788759,0,434303813,3rd Street South,primary,True,False,103.787,"[1305, 1695]",1038,56.0,0.002,2.0999999046325684,1.0,"[8009.44, 8514.95]",16524.39,2,FL A1A,35 mph,nan,nan
2922788759,2922788760,0,434303813,3rd Street South,primary,True,False,104.689,"[1721, 1308, 1718]",1041,56.0,0.002,2.009999990463257,1.0,"[7824.42, 6680.17, 1958.86]",16463.45,2,FL A1A,35 mph,nan,nan
2922788760,2922788761,0,434303813,3rd Street South,primary,True,False,105.177,"[1735, 1732, 1311]",1044,56.0,0.002,2.0999999046325684,1.0,"[1480.31, 8424.02, 6707.17]",16611.5,2,FL A1A,35 mph,nan,nan
2922788761,2922788762,0,434303813,3rd Street South,primary,True,False,104.325,"[1312, 1740, 1744, 1743]",1046,56.0,0.002,2.309999942779541,1.0,"[3399.72, 1304.86, 8935.82, 4056.88]",17697.28,2,FL A1A,35 mph,nan,nan
2922788762,2922788763,0,683228851,3rd Street South,primary,True,False,103.986,"[1316, 2827, 1751, 1756, 1759]",1049,56.0,0.002,2.190000057220459,1.0,"[3855.18, 1106.29, 7080.97, 3364.13, 1362.03]",16768.6,2,FL A1A,35 mph,nan,nan
2922788763,2922788764,0,683228855,3rd Street South,primary,True,False,104.95,"[1320, 1806, 2831, 1809, 1810]",1053,56.0,0.002,1.75,1.0,"[2216.0, 3022.78, 964.16, 3312.43, 5838.11]",15353.48,2,FL A1A,35 mph,nan,nan
2922788764,2922788766,0,683228855,3rd Street South,primary,True,False,119.66,"[2809, 1322, 1811]",1055,56.0,0.002,1.8700000047683716,1.0,"[2144.03, 3577.88, 12316.35]",18038.26,2,FL A1A,35 mph,nan,nan
2922788766,3574801186,0,683228865,Beach Boulevard,tertiary,True,False,99.39699999999999,"[1794, 1323, 1788]",1057,50.0,0.002,2.119999885559082,1.0,"[1302.62, 1106.09, 8750.62]",11159.33,nan,nan,nan,nan,nan
3574801186,3574801187,0,683228861,nan,tertiary,True,False,1.366,1326,1059,50.0,0.0,2.119999885559082,1.0,[159.69],159.69,nan,nan,nan,roundabout,nan
3574801186,3574801802,0,683228861,nan,tertiary,True,False,12.918,"[1345, 1358, 1359, 2811, 2812, 2813]",1068,50.0,0.0,2.119999885559082,1.0,"[193.07, 265.0, 326.74, 166.47, 264.66, 291.4]",1507.34,nan,nan,nan,roundabout,nan
3574801187,3574801809,0,683228860,North 2nd Street,residential,True,False,19.11,"[1360, 1787, 1327]",1060,44.0,0.0,2.240000009536743,1.0,"[360.46, 694.05, 865.73]",1920.24,nan,nan,nan,nan,nan
3574801187,3574801189,0,683228864,nan,tertiary,True,False,11.312999999999999,"[2820, 2821, 2822, 1328, 1329]",1061,50.0,0.0,2.2200000286102295,1.0,"[297.5, 252.2, 249.9, 246.31, 297.98]",1343.89,nan,nan,nan,roundabout,nan
3574801189,3574801190,0,683228859,nan,tertiary,True,False,1.193,1330,1062,50.0,0.0,2.2200000286102295,1.0,[142.59],142.59,nan,nan,nan,roundabout,nan
3574801189,3574801809,0,10883932,North 2nd Street,residential,True,False,18.329,"[1353, 1354, 1786]",1072,44.0,0.0,2.240000009536743,1.0,"[961.86, 698.04, 220.21]",1880.11,nan,nan,nan,nan,nan
3574801190,4419335615,0,351669848,Beach Boulevard,tertiary,True,False,98.795,"[1796, 1331, 1333, 1334, 1335, 1336, 1337, 1338]",1063,50.0,0.002,2.2300000190734863,1.0,"[4133.68, 1445.96, 882.75, 1010.76, 936.8, 1440.02, 644.75, 429.55]",10924.27,nan,nan,nan,nan,nan
3574801190,3574801799,0,683228859,nan,tertiary,True,False,11.869,"[2817, 2818, 2819, 1351, 1352, 1332]",1064,50.0,0.0,2.2300000190734863,1.0,"[109.9, 268.56, 296.95, 304.01, 272.15, 154.24]",1405.81,nan,nan,nan,roundabout,nan
3574801799,3574801800,0,683228859,nan,tertiary,True,False,1.657,1341,1065,50.0,0.0,2.130000114440918,1.0,[194.14],194.14,nan,nan,nan,roundabout,nan
3574801799,4419335616,0,351669849,Beach Boulevard,tertiary,True,False,95.127,"[1795, 1797, 2168, 1339, 1340]",1102,50.0,0.002,2.1700000762939453,1.0,"[1304.72, 424.17, 243.65, 563.95, 8015.64]",10552.13,nan,nan,nan,nan,nan
3574801800,3574801804,0,683228858,North 2nd Street,residential,True,False,16.349,"[1350, 1342, 1791]",1066,44.0,0.0,2.240000009536743,1.0,"[172.31, 1168.78, 312.22]",1653.31,nan,nan,nan,nan,nan
3574801800,3574801811,0,683228863,nan,tertiary,True,False,10.369,"[2816, 1344, 1343, 2814, 2815]",1067,50.0,0.0,2.130000114440918,1.0,"[283.77, 228.79, 282.01, 135.11, 281.76]",1211.44,nan,nan,nan,roundabout,nan
3574801802,3574801811,0,683228861,nan,tertiary,True,False,1.653,1357,1074,50.0,0.0,2.0999999046325684,1.0,[192.37],192.37,nan,nan,nan,roundabout,nan
3574801804,3574801811,0,351669851,North 2nd Street,residential,True,False,14.514,"[1348, 1790, 1356]",1070,44.0,0.0,2.140000104904175,1.0,"[315.84, 346.14, 795.29]",1457.27,nan,nan,nan,nan,nan
3574801815,3574801815,0,351669853,Beach Boulevard,residential,True,False,66.60499999999999,"[1171, 1456, 1457, 1458, 1459, 1460, 1461, 1462, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372]",1076,44.0,0.002,1.9600000381469727,1.0,"[278.57, 277.8, 286.83, 296.72, 272.83, 281.07, 406.1, 478.9, 572.05, 385.59, 288.49, 288.49, 283.62, 277.38, 264.09, 262.57, 266.5, 271.5, 271.32]",6010.42,nan,nan,nan,nan,nan
3587045926,3587045926,0,352916197,South 4th Street,residential,False,False,57.043000000000006,"[1379, 1381, 1383, 1385, 1387, 1389, 1391, 1393, 1395, 1397, 1399, 1401, 1404]",1078,44.0,0.001,2.8499999046325684,1.0,"[296.57, 287.08, 305.33, 286.98, 305.54, 286.18, 318.72, 290.07, 329.66, 291.85, 291.96, 1481.61, 1362.54]",6134.09,nan,nan,nan,nan,nan
3587045926,3587045926,1,352916197,South 4th Street,residential,False,True,57.043000000000006,"[1380, 1382, 1384, 1386, 1388, 1390, 1392, 1394, 1396, 1398, 1400, 1402, 1405]",1079,44.0,0.001,2.8499999046325684,1.0,"[305.33, 296.57, 305.54, 287.08, 318.72, 286.98, 329.66, 286.18, 1362.54, 290.07, 291.85, 291.96, 1481.61]",6134.09,nan,nan,nan,nan,nan
4377180251,4377180256,0,440018001,nan,residential,False,True,94.31400000000001,"[2048, 2050, 2053, 2044, 2046]",1090,44.0,0.002,0.11999999731779099,0.2172181032883122,"[nan, nan, 21.86, 79.98, nan]",101.84,nan,nan,nan,nan,nan
4377180257,4377180264,0,440018002,nan,residential,False,True,84.36699999999999,"[2058, 2060, 2062, 2064, 2066, 2068, 2071]",1096,44.0,0.002,0.30000001192092896,0.31887098790036145,"[357.94, nan, nan, nan, nan, nan, nan]",357.94,nan,nan,nan,nan,nan
4419335612,4419335615,0,444454369,nan,tertiary,True,False,4.726,"[2171, 2179, 2167]",1101,50.0,0.0,1.9700000286102295,1.0,"[128.14, 200.1, 197.79]",526.03,nan,nan,nan,roundabout,nan
4419335614,4419335616,0,444454369,nan,tertiary,True,False,6.281000000000001,"[2170, 2174, 2173, 2166]",1100,50.0,0.0,1.9299999475479126,1.0,"[199.12, 99.7, 199.78, 199.06]",697.66,nan,nan,nan,roundabout,nan
4419335615,4419335616,0,444454369,nan,tertiary,True,False,8.086,"[2176, 2177, 2178, 2169, 2175]",1103,50.0,0.0,1.899999976158142,1.0,"[198.23, 198.34, 197.9, 99.89, 197.13]",891.49,nan,nan,nan,roundabout,nan
