osmid,name,highway,maxspeed,oneway,reversed,length,rfid_c,geometry,rfid,avgspeed,time,bridge,access,lanes,service,alt_dist,alt_nodes,diff_dist,detour
"[7477634, 7477635, 144087268, 144087271, 7476125]","['Groenewegje', 'Zuidwal']",residential,30,True,False,328.0,"[352, 91, 77, 78, 335, 337, 341, 87, 314, 315]","LINESTRING (4.3129032 52.0722958, 4.3140903 52.0727134, 4.3141525 52.072738, 4.3141825 52.0727701, 4.3141888 52.0727861, 4.3141885 52.0728116, 4.3141345 52.0728748, 4.314107 52.0728996, 4.3140333 52.0729212, 4.3123292 52.0723417, 4.3114414 52.072035)",45,30.0,39.0,yes,nan,nan,nan,127.0,"[45120338, 45119614, 45121399]",-201.0,1
7477638,Boekhorststraat,residential,30,True,False,125.0,"[81, 493, 94]","LINESTRING (4.3105242 52.0730071, 4.3110313 52.0724639, 4.3110475 52.072447, 4.3114414 52.072035)",56,30.0,15.0,nan,nan,nan,nan,330.0,"[45120338, 45118779, 45120695, 45122240, 45124236]",205.0,1
7477383,Lange Beestenmarkt,residential,30,True,False,61.0,"[73, 590]","LINESTRING (4.3096511 52.0720735, 4.3092837 52.0724801, 4.3092164 52.0725546)",42,30.0,7.0,nan,nan,nan,nan,357.0,"[45120695, 45122239, 45123838, 45122240]",296.0,1
7477385,Helena van Doeverenplantsoen,residential,30,True,False,211.0,"[58, 72, 587, 83, 53, 374, 375, 376, 377, 378, 59, 63]","LINESTRING (4.307625 52.0725014, 4.3078616 52.0722455, 4.3078905 52.0722122, 4.3079186 52.0721199, 4.3083 52.0717, 4.3083495 52.0716556, 4.3084041 52.0716349, 4.3084931 52.0716329, 4.3085978 52.0716666, 4.3091153 52.0718535, 4.3091356 52.0718665, 4.309213 52.071916, 4.3096511 52.0720735)",49,30.0,25.0,nan,nan,nan,nan,207.0,"[45120695, 45122240, 45123838, 45122239]",-4.0,1
473979816,Stationsweg,residential,50,False,True,86.0,258,"LINESTRING (4.3200805 52.0721425, 4.319375 52.0727848)",140,50.0,6.0,nan,nan,nan,nan,634.0,"[45120702, 45118074, 45115551, 45117756, 1401604230]",548.0,1
7476118,Hofwijckplein,residential,30,False,True,30.0,82,"LINESTRING (4.3211125 52.0723099, 4.3208639 52.0725347)",48,30.0,4.0,nan,nan,nan,nan,,nan,,0
7476436,Hofwijckplein,residential,30,True,False,32.0,"[80, 433, 434, 435, 432]","LINESTRING (4.3211125 52.0723099, 4.3211827 52.0723294, 4.3212453 52.072336, 4.3214491 52.0723162, 4.3215135 52.0722975, 4.3215528 52.0722744)",47,30.0,4.0,nan,nan,nan,nan,,nan,,0
7476436,Hofwijckplein,residential,30,True,False,21.0,579,"LINESTRING (4.3211125 52.0723099, 4.3212811 52.0721555)",188,30.0,2.0,nan,nan,nan,nan,,nan,,0
7477395,Glasblazerslaan,residential,30,True,False,98.0,"[84, 495]","LINESTRING (4.307625 52.0725014, 4.3082725 52.0727254, 4.3088751 52.0729349)",50,30.0,12.0,nan,nan,nan,nan,320.0,"[45122239, 45120695, 45122240, 45123838]",222.0,1
7477392,Hamerstraat,residential,30,True,False,103.0,"[589, 85]","LINESTRING (4.3092164 52.0725546, 4.3098925 52.0727885, 4.3105242 52.0730071)",51,30.0,12.0,nan,nan,nan,nan,352.0,"[45122240, 45123838, 45126513, 45128010, 45124236]",249.0,1
7477396,Lange Beestenmarkt,residential,30,True,False,48.0,"[595, 86, 494]","LINESTRING (4.3092164 52.0725546, 4.3091931 52.0725806, 4.3091563 52.0726216, 4.3088751 52.0729349)",52,30.0,6.0,nan,nan,nan,nan,370.0,"[45122240, 45120695, 45122239, 45123838]",322.0,1
7476084,Abraham Amptstraat,residential,30,True,False,58.0,88,"LINESTRING (4.3161335 52.0728278, 4.3157208 52.0732803)",53,30.0,7.0,nan,nan,nan,nan,291.0,"[45123452, 1942904234, 45125512]",233.0,1
210083430,Repelaerstraat,residential,30,True,False,145.0,"[577, 89, 458, 459]","LINESTRING (4.3161335 52.0728278, 4.3170906 52.0732877, 4.3172593 52.0733818, 4.3174749 52.073502, 4.3177551 52.0736582)",54,30.0,17.0,nan,nan,nan,nan,216.0,"[45123452, 45125512, 45127192, 1401604251, 1401604249]",71.0,1
210083430,Repelaerstraat,residential,30,True,False,102.0,330,"LINESTRING (4.3161335 52.0728278, 4.3149649 52.0722659)",159,30.0,12.0,nan,nan,nan,nan,247.0,"[45123452, 45125512, 1942904234]",145.0,1
"[7477478, 7477390]",Lange Beestenmarkt,residential,30,True,False,81.0,"[96, 90]","LINESTRING (4.3088751 52.0729349, 4.3086701 52.0731604, 4.3082934 52.0735636)",55,30.0,10.0,nan,nan,nan,nan,383.0,"[45123838, 45122240, 45124236, 45128010, 45126513]",302.0,1
7477638,Boekhorststraat,residential,30,True,False,128.0,"[113, 594, 102, 127]","LINESTRING (4.3096147 52.0740153, 4.3099595 52.073633, 4.3099701 52.0736218, 4.310286 52.0732712, 4.3105242 52.0730071)",78,30.0,15.0,nan,nan,nan,nan,336.0,"[45124236, 45122240, 45123838, 45126513, 45128010]",208.0,1
183777353,Nieuwe Molstraat,residential,30,False,False,44.0,321,"LINESTRING (4.3111766 52.0732321, 4.3106237 52.07304)",157,30.0,5.0,nan,nan,nan,nan,,nan,,0
7477498,Nieuwe Molstraat,residential,30,False,True,126.0,"[128, 649]","LINESTRING (4.3125511 52.0739793, 4.3124516 52.0739252, 4.3111766 52.0732321)",79,30.0,15.0,nan,nan,nan,nan,,nan,,0
849512667,Looijerstraat,residential,30,False,False,45.0,"[92, 446]","LINESTRING (4.3115252 52.0728901, 4.3113852 52.0729892, 4.3111766 52.0732321)",176,30.0,5.0,nan,nan,nan,nan,,nan,,0
